item_id,item_code,item_name,category_id,item_type,base_unit,latest_purchase_price,minimum_stock,criticality,tolerance_variance_percentage,active_status,created_at,created_by,item_key,notes
ITM-0012,,AW 250 ML,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,AW 250 ML,
ITM-0013,ITM-002,Ayam Fillet,critical,RAW_MATERIAL,kg,55000.0,10.0,CRITICAL,3.0,active,2026-07-18,etl,AYAM FILLET,
ITM-0014,,BACON,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BACON,
ITM-0015,,BAKING POWDER HERCULES,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAKING POWDER HERCULES,
ITM-0016,,BAKING POWDER KOEPOE,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAKING POWDER KOEPOE,
ITM-0017,,Baking Soda Koepoe,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAKING SODA KOEPOE,
ITM-0018,,BAWANG BOMBAY,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAWANG BOMBAY,
ITM-0019,,BAWANG BOMBAY MERAH,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAWANG BOMBAY MERAH,
ITM-0020,,Bawang Merah,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAWANG MERAH,
ITM-0021,,BAWANG PUTIH,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAWANG PUTIH,
ITM-0022,,BAYLEAF,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BAYLEAF,
ITM-0023,,BBQ,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BBQ,
ITM-0024,,Beans hot,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BEANS HOT,
ITM-0025,,Beans ice,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BEANS ICE,
ITM-0026,,BERAS,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BERAS,
ITM-0027,,BIG MAC,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BIG MAC,
ITM-0028,,BLACK PAPER POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BLACK PAPER POWDER,
ITM-0029,,BLACK TEA,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BLACK TEA,
ITM-0030,,BORA 250ml,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BORA 250ML,
ITM-0031,,Bowl Kertas,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BOWL KERTAS,
ITM-0032,,BOX CHICKEN WAFFLE (L),condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BOX CHICKEN WAFFLE (L),
ITM-0033,,BOX NASI,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BOX NASI,
ITM-0034,,BOX SANDWHICH (M),condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BOX SANDWHICH (M),
ITM-0035,,Brown Sugar,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BROWN SUGAR,
ITM-0036,,Brown Toast,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BROWN TOAST,
ITM-0037,,BUFFALO,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BUFFALO,
ITM-0038,,BUMBU NASHVILLE KERING,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BUMBU NASHVILLE KERING,
ITM-0039,,BUMBU TEPUNG AYAM,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BUMBU TEPUNG AYAM,
ITM-0040,,BURGER BUN,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,BURGER BUN,
ITM-0041,ITM-008,Butter Unsalted,critical,RAW_MATERIAL,kg,95000.0,5.0,CRITICAL,3.0,active,2026-07-18,etl,BUTTER UNSALTED,
ITM-0042,,CABAI RAWIT,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CABAI RAWIT,
ITM-0043,,CABAI TEROPONG HIJAU,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CABAI TEROPONG HIJAU,
ITM-0044,,CARAMEL SAUCE,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CARAMEL SAUCE,
ITM-0045,,CAYENNE POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CAYENNE POWDER,
ITM-0046,,Ceker Ayam,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CEKER AYAM,
ITM-0047,,Cengkeh,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CENGKEH,
ITM-0048,,CHEDDAR BLOCK,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHEDDAR BLOCK,
ITM-0049,,CHICKEN SANDWICH,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHICKEN SANDWICH,
ITM-0050,,Chili Flake,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHILI FLAKE,
ITM-0051,,Chili oil,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHILI OIL,
ITM-0052,,CHILLI POWDER YUTAKACHI,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHILLI POWDER YUTAKACHI,
ITM-0053,,Chipotle dressing,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHIPOTLE DRESSING,
ITM-0054,,Chipotle kaleng,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CHIPOTLE KALENG,
ITM-0055,,CINNAMON POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CINNAMON POWDER,
ITM-0056,ITM-010,Cokelat Couverture,critical,RAW_MATERIAL,kg,165000.0,3.0,CRITICAL,2.0,active,2026-07-18,etl,COKELAT COUVERTURE,
ITM-0057,,COKLAT POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,COKLAT POWDER,
ITM-0058,,COLA 250 ML,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,COLA 250 ML,
ITM-0059,,COLATTA CHOCOCHIPS,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,COLATTA CHOCOCHIPS,
ITM-0060,,COLESLAW,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,COLESLAW,
ITM-0061,,COOKING CREAM,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,COOKING CREAM,
ITM-0062,,CREAM CHEESE,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAM CHEESE,
ITM-0063,,CREAMER,condiment,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAMER,
ITM-0064,,Creamer bubuk,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAMER BUBUK,
ITM-0065,,Creamer cair,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAMER CAIR,
ITM-0066,,CREAMY BUTTERMILK SAUCE,sauce,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAMY BUTTERMILK SAUCE,
ITM-0067,,CREAMY LEMON GARLIC,sauce,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CREAMY LEMON GARLIC,
ITM-0068,,Crumble lotus,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CRUMBLE LOTUS,
ITM-0069,,CUKA,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUKA,
ITM-0070,,CUP 14 OZ,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP 14 OZ,
ITM-0071,,Cup 150 ml,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP 150 ML,
ITM-0072,,CUP ICE CREAM Lar,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP ICE CREAM LAR,
ITM-0073,,Cup laju,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP LAJU,
ITM-0074,,CUP SAOS PLASTIK 35 ML,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP SAOS PLASTIK 35 ML,
ITM-0075,,CUP SAOS PLASTIK 60 ML,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP SAOS PLASTIK 60 ML,
ITM-0076,,CUP SAOS STAINLESS,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CUP SAOS STAINLESS,
ITM-0077,,CURRY HIJAU,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,CURRY HIJAU,
ITM-0078,,DADA AYAM,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DADA AYAM,
ITM-0079,,DADA AYAM MARINASI,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DADA AYAM MARINASI,
ITM-0080,ITM-001,Daging Sapi Sirloin,critical,RAW_MATERIAL,kg,180000.0,5.0,CRITICAL,2.0,active,2026-07-18,etl,DAGING SAPI SIRLOIN,Cek kondisi & timbang ulang
ITM-0081,,Daun bawang,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN BAWANG,
ITM-0082,,Daun curry,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN CURRY,
ITM-0083,,DAUN JERUK,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN JERUK,
ITM-0084,,Daun Ketumbar,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN KETUMBAR,
ITM-0085,,Daun kucai,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN KUCAI,
ITM-0086,,Daun salam,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DAUN SALAM,
ITM-0087,,DELIVERY BAG IDOLA 15,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DELIVERY BAG IDOLA 15,
ITM-0088,,DELIVERY BAG IDOLA 24,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DELIVERY BAG IDOLA 24,
ITM-0089,,DELIVERY BAG IDOLA 30,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DELIVERY BAG IDOLA 30,
ITM-0090,,DELIVERY BAG PARTY 20,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DELIVERY BAG PARTY 20,
ITM-0091,,DELIVERY BAG PARTY 28,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DELIVERY BAG PARTY 28,
ITM-0092,,DIAMOND ICE CREAM VANILLA,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DIAMOND ICE CREAM VANILLA,
ITM-0093,,DIAMOND SOFT MIX CHOCOLATE,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DIAMOND SOFT MIX CHOCOLATE,
ITM-0094,,DIAMOND SOFT MIX VANILLA,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DIAMOND SOFT MIX VANILLA,
ITM-0095,,DIAMOND UHT,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DIAMOND UHT,
ITM-0096,,DIAMOND UHT COKLAT,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DIAMOND UHT COKLAT,
ITM-0097,,Dr Pepper Original,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DR PEPPER ORIGINAL,
ITM-0098,,Dr Pepper Strawberry cream,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,DR PEPPER STRAWBERRY CREAM,
ITM-0099,,EMAKU KOREAN SPICY,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,EMAKU KOREAN SPICY,
ITM-0100,,Es Batu,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ES BATU,
ITM-0101,,Espresso,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ESPRESSO,
ITM-0102,,FF CRISSCUT,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,FF CRISSCUT,
ITM-0103,,FF STRAIGH CUT,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,FF STRAIGH CUT,
ITM-0104,,FLOOR CLEANER,condiment,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,FLOOR CLEANER,
ITM-0105,,GALON,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GALON,
ITM-0106,,GARAM,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GARAM,
ITM-0107,,Garam Masala,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GARAM MASALA,
ITM-0108,,GARLIC PARMESAN,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GARLIC PARMESAN,
ITM-0109,,GARLIC POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GARLIC POWDER,
ITM-0110,,GARPU STAINLESS,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GARPU STAINLESS,
ITM-0111,,GAS 50 KG,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GAS 50 KG,
ITM-0112,,GINGER POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GINGER POWDER,
ITM-0113,,GLASS CLEANER,condiment,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GLASS CLEANER,
ITM-0114,,GULA CAIR,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,GULA CAIR,
ITM-0115,ITM-006,Gula Pasir,critical,RAW_MATERIAL,kg,14000.0,15.0,CRITICAL,3.0,active,2026-07-18,etl,GULA PASIR,
ITM-0116,,HAND SOAP,condiment,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HAND SOAP,
ITM-0117,,Handgloves plastik,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HANDGLOVES PLASTIK,
ITM-0118,,HONEY CHILI,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HONEY CHILI,
ITM-0119,,HORLIC POWDER,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HORLIC POWDER,
ITM-0120,,HOT CREAMY GARLIC,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HOT CREAMY GARLIC,
ITM-0121,,HOT LAVA SAUCE,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HOT LAVA SAUCE,
ITM-0122,,HOT SPICY,sauce,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,HOT SPICY,
ITM-0123,,ICE CREAM VANILLA,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ICE CREAM VANILLA,
ITM-0124,,Isian roti china ori,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ISIAN ROTI CHINA ORI,
ITM-0125,,Isian roti China szechuan,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ISIAN ROTI CHINA SZECHUAN,
ITM-0126,,Italian Herbs,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,ITALIAN HERBS,
ITM-0127,,Jelly powder,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,JELLY POWDER,
ITM-0128,,JINTEN POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,JINTEN POWDER,
ITM-0129,,Kaldu ayam,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KALDU AYAM,
ITM-0130,,Kapulaga,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KAPULAGA,
ITM-0131,,KECAP INGGRIS,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KECAP INGGRIS,
ITM-0132,ITM-004,Keju Mozzarella,critical,RAW_MATERIAL,kg,145000.0,4.0,CRITICAL,3.0,active,2026-07-18,etl,KEJU MOZZARELLA,
ITM-0133,,Keju powder,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KEJU POWDER,
ITM-0134,,KEJU SLICE,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KEJU SLICE,
ITM-0135,,Kertas Nasi,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KERTAS NASI,
ITM-0136,,KETUMBAR POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KETUMBAR POWDER,
ITM-0137,,KIKKOMAN KOREAN CHILLI GOCHUJANG,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KIKKOMAN KOREAN CHILLI GOCHUJANG,
ITM-0138,,KNORR BEEF POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KNORR BEEF POWDER,
ITM-0139,,Knorr cheese,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KNORR CHEESE,
ITM-0140,ITM-007,Kopi Arabica Bean,critical,RAW_MATERIAL,kg,220000.0,5.0,CRITICAL,2.0,active,2026-07-18,etl,KOPI ARABICA BEAN,Item rawan bocor
ITM-0141,,Kuah curry,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KUAH CURRY,
ITM-0142,,Kubis Putih,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KUBIS PUTIH,
ITM-0143,,Kubis Ungu,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KUBIS UNGU,
ITM-0144,,Kunyit Powder,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,KUNYIT POWDER,
ITM-0145,,LADA PUTIH,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LADA PUTIH,
ITM-0146,,Lada szechuan,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LADA SZECHUAN,
ITM-0147,,LAJU KOPI,other,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LAJU KOPI,
ITM-0148,,LAROME VANILLA POWDER,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LAROME VANILLA POWDER,
ITM-0149,,Lemon,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LEMON,
ITM-0150,,LETTUCE,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LETTUCE,
ITM-0151,,LID CUP 14 OZ,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LID CUP 14 OZ,
ITM-0152,,LID ICE CREAM Lar,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LID ICE CREAM LAR,
ITM-0153,,Lime Powder,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LIME POWDER,
ITM-0154,,LIQUID SMOKE,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LIQUID SMOKE,
ITM-0155,,LOTUS BISCOFF,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,LOTUS BISCOFF,
ITM-0156,,MADU,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MADU,
ITM-0157,,Madu botol,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MADU BOTOL,
ITM-0158,,MAIZENA,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MAIZENA,
ITM-0159,,MAKARONI,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MAKARONI,
ITM-0160,,MANGKOK ENAMEL,condiment,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MANGKOK ENAMEL,
ITM-0161,,MAPPLE SYRUP,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MAPPLE SYRUP,
ITM-0162,,MARINASI BUTTERMILK,marinade,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MARINASI BUTTERMILK,
ITM-0163,,MARINASI NASVILE,marinade,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MARINASI NASVILE,
ITM-0164,,Mayonaise Kewpie,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MAYONAISE KEWPIE,
ITM-0165,,MC Lewis Mayonaise,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MC LEWIS MAYONAISE,
ITM-0166,,MICIN,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MICIN,
ITM-0167,,Mie,food_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MIE,
ITM-0168,,MINERAL WATER 600ML,beverage_main,RAW_MATERIAL,pcs,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MINERAL WATER 600ML,
ITM-0169,ITM-005,Minyak Goreng,critical,RAW_MATERIAL,liter,18000.0,20.0,CRITICAL,5.0,active,2026-07-18,etl,MINYAK GORENG,
ITM-0170,,Minyak Wijen,food_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MINYAK WIJEN,
ITM-0171,,MONIN PEACH SYRUP,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MONIN PEACH SYRUP,
ITM-0172,,Mozzarella,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,MOZZARELLA,
ITM-0173,,Nira,beverage_main,RAW_MATERIAL,ml,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,NIRA,
ITM-0174,,NUTELLA,beverage_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,NUTELLA,
ITM-0175,,OAT,food_main,RAW_MATERIAL,g,0.0,0.0,STANDARD,2.0,active,2026-07-18,etl,OAT,
