item_key,item_name,category_id,base_unit
DR PEPPER ORIGINAL,Dr Pepper Original,beverage_main,pcs
DR PEPPER STRAWBERRY CREAM,Dr Pepper Strawberry cream,beverage_main,pcs
EMAKU KOREAN SPICY,EMAKU KOREAN SPICY,food_main,g
ES BATU,Es Batu,beverage_main,g
ESPRESSO,Espresso,beverage_main,ml
FF CRISSCUT,FF CRISSCUT,food_main,g
FF STRAIGH CUT,FF STRAIGH CUT,food_main,g
FLOOR CLEANER,FLOOR CLEANER,condiment,ml
GALON,GALON,beverage_main,ml
GARAM,GARAM,food_main,g
GARAM MASALA,Garam Masala,food_main,g
GARLIC PARMESAN,GARLIC PARMESAN,sauce,g
GARLIC POWDER,GARLIC POWDER,food_main,g
GARPU STAINLESS,GARPU STAINLESS,condiment,pcs
GAS 50 KG,GAS 50 KG,condiment,pcs
GINGER POWDER,GINGER POWDER,food_main,g
GLASS CLEANER,GLASS CLEANER,condiment,ml
GULA CAIR,GULA CAIR,food_main,g
GULA PASIR,Gula Pasir,critical,kg
HAND SOAP,HAND SOAP,condiment,ml
HANDGLOVES PLASTIK,Handgloves plastik,condiment,pcs
HONEY CHILI,HONEY CHILI,sauce,g
HORLIC POWDER,HORLIC POWDER,beverage_main,g
HOT CREAMY GARLIC,HOT CREAMY GARLIC,sauce,g
HOT LAVA SAUCE,HOT LAVA SAUCE,food_main,g
HOT SPICY,HOT SPICY,sauce,g
ICE CREAM VANILLA,ICE CREAM VANILLA,beverage_main,ml
ISIAN ROTI CHINA ORI,Isian roti china ori,food_main,g
ISIAN ROTI CHINA SZECHUAN,Isian roti China szechuan,food_main,g
ITALIAN HERBS,Italian Herbs,food_main,g
JELLY POWDER,Jelly powder,food_main,g
JINTEN POWDER,JINTEN POWDER,food_main,g
KALDU AYAM,Kaldu ayam,food_main,ml
KAPULAGA,Kapulaga,food_main,g
KECAP INGGRIS,KECAP INGGRIS,food_main,g
KEJU MOZZARELLA,Keju Mozzarella,critical,kg
KEJU POWDER,Keju powder,beverage_main,g
KEJU SLICE,KEJU SLICE,food_main,pcs
KERTAS NASI,Kertas Nasi,condiment,pcs
KETUMBAR POWDER,KETUMBAR POWDER,food_main,g
KIKKOMAN KOREAN CHILLI GOCHUJANG,KIKKOMAN KOREAN CHILLI GOCHUJANG,food_main,g
KNORR BEEF POWDER,KNORR BEEF POWDER,food_main,g
KNORR CHEESE,Knorr cheese,food_main,g
KOPI ARABICA BEAN,Kopi Arabica Bean,critical,kg
KUAH CURRY,Kuah curry,food_main,ml
KUBIS PUTIH,Kubis Putih,beverage_main,g
KUBIS UNGU,Kubis Ungu,beverage_main,g
KUNYIT POWDER,Kunyit Powder,food_main,g
LADA PUTIH,LADA PUTIH,food_main,g
LADA SZECHUAN,Lada szechuan,food_main,g
LAJU KOPI,LAJU KOPI,other,pcs
LAROME VANILLA POWDER,LAROME VANILLA POWDER,food_main,g
LEMON,Lemon,beverage_main,g
LETTUCE,LETTUCE,food_main,g
LID CUP 14 OZ,LID CUP 14 OZ,condiment,pcs
LID ICE CREAM LAR,LID ICE CREAM Lar,condiment,pcs
LIME POWDER,Lime Powder,beverage_main,g
LIQUID SMOKE,LIQUID SMOKE,food_main,ml
LOTUS BISCOFF,LOTUS BISCOFF,beverage_main,pcs
MADU,MADU,food_main,g
MADU BOTOL,Madu botol,beverage_main,g
MAIZENA,MAIZENA,food_main,g
MAKARONI,MAKARONI,food_main,g
MANGKOK ENAMEL,MANGKOK ENAMEL,condiment,pcs
MAPPLE SYRUP,MAPPLE SYRUP,food_main,ml
MARINASI BUTTERMILK,MARINASI BUTTERMILK,marinade,g
MARINASI NASVILE,MARINASI NASVILE,marinade,g
MAYONAISE KEWPIE,Mayonaise Kewpie,food_main,g
MC LEWIS MAYONAISE,MC Lewis Mayonaise,food_main,g
MICIN,MICIN,food_main,g
MIE,Mie,food_main,pcs
MINERAL WATER 600ML,MINERAL WATER 600ML,beverage_main,pcs
MINYAK GORENG,Minyak Goreng,critical,liter
MINYAK WIJEN,Minyak Wijen,food_main,ml
MONIN PEACH SYRUP,MONIN PEACH SYRUP,beverage_main,ml
MOZZARELLA,Mozzarella,food_main,g
NIRA,Nira,beverage_main,ml
NUTELLA,NUTELLA,beverage_main,g
OAT,OAT,food_main,g
ONION POWDER,ONION POWDER,food_main,g
OREGANO,Oregano,food_main,g
PAHA ATAS,PAHA ATAS,food_main,pcs
PAHA BAWAH,PAHA BAWAH,food_main,pcs
PALA POWDER,PALA POWDER,food_main,g
PAPER BAG MERAH,PAPER BAG MERAH,condiment,pcs
PAPER BAG PUTIH,PAPER BAG PUTIH,condiment,pcs
PAPER TRAY (L),PAPER TRAY (L),condiment,pcs
PAPER WRAP,PAPER WRAP,condiment,pcs
PAPRIKA HIJAU,Paprika hijau,food_main,g
PAPRIKA POWDER,PAPRIKA POWDER,food_main,g
PARMESAN POWDER,PARMESAN POWDER,food_main,g
PARSLEY FRESH,Parsley Fresh,food_main,g
PARSLEY KERING,PARSLEY KERING,food_main,g
PEACH BUAH KALENG,PEACH BUAH KALENG,beverage_main,g
PEANUT BUTTER,PEANUT BUTTER,beverage_main,g
PEANUT DRESSING,PEANUT DRESSING,sauce,g
PERISA RED PASTA,PERISA RED PASTA,food_main,g
PEWARNA KUNING,PEWARNA KUNING,food_main,ml
PEWARNA MERAH,Pewarna merah,beverage_main,ml
PICKLES,PICKLES,food_main,g
PIRING ENAMEL,PIRING ENAMEL,condiment,pcs
PISANG,PISANG,beverage_main,pcs
PISAU STAINLESS,PISAU STAINLESS,condiment,pcs
RAISING CANE,RAISING CANE,sauce,g
RED VELVET POWDER,RED VELVET POWDER,food_main,g
RICE VINEGAR,Rice vinegar,beverage_main,ml
ROSEMARY POWDER,ROSEMARY POWDER,food_main,g
ROYCO AYAM,ROYCO AYAM,food_main,g
RUMPUT LAUT,Rumput laut,food_main,g
RUSSIAN DRESSING,Russian dressing,sauce,g
SABUN CUCI PIRING,SABUN CUCI PIRING,condiment,ml
SALMON,Salmon,food_main,g
SALMON FILLET,Salmon Fillet,critical,kg
SALMON SANDWICH,Salmon sandwich,sauce,g
SALTED CARAMEL SYRUP,SALTED CARAMEL SYRUP,beverage_main,ml
SANTAN,Santan,food_main,ml
SANTAN / KRIM KELAPA KARA,Santan / krim kelapa kara,food_main,ml
SAOS SAMBAL,SAOS SAMBAL,food_main,g
SAOS TOMAT,SAOS TOMAT,food_main,g
SAUCE MAC & CHEESE,Sauce Mac & Cheese,sauce,g
SAUS SACHET SAMBAL,Saus sachet sambal,food_main,pcs
SAUS TIRAM,SAUS TIRAM,food_main,g
SAYAP AYAM,SAYAP AYAM,food_main,pcs
SEAL CUP,Seal cup,condiment,pcs
SEDOTAN,Sedotan,condiment,pcs
SEDOTAN BESAR,SEDOTAN BESAR,condiment,pcs
SEDOTAN KECIL,SEDOTAN KECIL,condiment,pcs
SENDOK GARPU PLASTIK,Sendok garpu plastik,condiment,pcs
SENDOK STAINLESS,SENDOK STAINLESS,condiment,pcs
SEREH,Sereh,food_main,g
SIRUP ALPEN,Sirup Alpen,beverage_main,ml
SKM,SKM,condiment,ml
SLEEVE ROTI CHINA,Sleeve Roti China,condiment,pcs
SODA CHARGER,SODA CHARGER,beverage_main,pcs
SOY SAUCE,Soy sauce,beverage_main,g
SOY SUCE,Soy Suce,food_main,ml
SPORK HITAM,Spork hitam,condiment,pcs
SRIRACHA SAOS,Sriracha saos,food_main,g
SUMPIT KAYU,Sumpit Kayu,condiment,pcs
SUNFLOWER OIL,SUNFLOWER OIL,food_main,ml
SYRUP HAZELNUT,SYRUP HAZELNUT,food_main,ml
SYRUP RUM,SYRUP RUM,food_main,ml
TARO POWDER,Taro powder,beverage_main,g
TELUR AYAM,TELUR AYAM,food_main,g
TELUR OMEGA,Telur omega,food_main,pcs
TEPUNG CAKRA KEMBAR,TEPUNG CAKRA KEMBAR,food_main,g
TEPUNG ROTI,Tepung Roti,food_main,g
TEPUNG SEGITIGA BIRU,TEPUNG SEGITIGA BIRU,food_main,g
TERASI UDANG,Terasi udang,food_main,g
TIKKA MASALA,Tikka masala,sauce,g
TISSUE HANDTOWEL,TISSUE HANDTOWEL,condiment,pcs
TISSUE MAKAN,TISSUE MAKAN,condiment,pcs
TISSUE ROLL,TISSUE ROLL,condiment,pcs
TOMAT FRESH,TOMAT FRESH,beverage_main,g
TOMATO PELLED,Tomato Pelled,food_main,g
TRASH BAG,TRASH BAG,food_main,pcs
TRAY MELAMIN,TRAY MELAMIN,condiment,pcs
TUTUP BOWL,Tutup bowl,condiment,pcs
UDANG VANAME,Udang Vaname,critical,kg
UHT,UHT,beverage_main,ml
UNCLE MASALA,UNCLE MASALA,other,pcs
UNSALTED BUTTER (KG),UNSALTED BUTTER (KG),food_main,g
UNSALTED BUTTER PORTION,UNSALTED BUTTER PORTION,food_main,pcs
VANILLA SYRUP,VANILLA SYRUP,food_main,ml
WIJEN,WIJEN,beverage_main,g
WORTEL,Wortel,food_main,g
YELLOW MUSTARD,YELLOW MUSTARD,food_main,g
