expense_id,date,item_name,qty,unit,debit,kredit,saldo,month,source_sheet,item_key,is_topup
PCE-0107,2026-01-08,Keran CP ,1.0,pcs,120000.0,0.0,-3757913.0,Januari,Expense Januari,KERAN CP,False
PCE-0108,2026-01-08,Isor Plus,1.0,pcs,12000.0,0.0,-3769913.0,Januari,Expense Januari,ISOR PLUS,False
PCE-0109,2026-01-08,TBA,1.0,pcs,6000.0,0.0,-3775913.0,Januari,Expense Januari,TBA,False
PCE-0110,2026-01-08,"Pipa Pralon ukuran 0,5",1.0,meter,12500.0,0.0,-3788413.0,Januari,Expense Januari,"PIPA PRALON UKURAN 0,5",False
PCE-0111,2026-01-09,Filma Minyak Gr Rf 2L,1.0,pcs,39900.0,0.0,-3828313.0,Januari,Expense Januari,FILMA MINYAK GR RF 2L,False
PCE-0112,2026-01-09,Aqua Galon,2.0,pcs,44000.0,0.0,-3872313.0,Januari,Expense Januari,AQUA GALON,False
PCE-0113,2026-01-09,es,1.0,pax,10000.0,0.0,-3882313.0,Januari,Expense Januari,ES,False
PCE-0114,2026-01-09,Uang Makan GC,10.0,org,250000.0,0.0,-4132313.0,Januari,Expense Januari,UANG MAKAN GC,False
PCE-0115,2026-01-09,Minyak Kita 1L,36.0,pcs,645000.0,0.0,-4777313.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0116,2026-01-09,Bawang Putih,500.0,gr,20000.0,0.0,-4797313.0,Januari,Expense Januari,BAWANG PUTIH,False
PCE-0117,2026-01-10,Soda Api,0.0,,30000.0,0.0,-4827313.0,Januari,Expense Januari,SODA API,False
PCE-0118,2026-01-10,S/W Beras Premium 5kg,1.0,pcs,74500.0,0.0,-4901813.0,Januari,Expense Januari,S/W BERAS PREMIUM 5KG,False
PCE-0119,2026-01-10,Orilia Sunflower Oil 1L,1.0,pcs,77000.0,0.0,-4978813.0,Januari,Expense Januari,ORILIA SUNFLOWER OIL 1L,False
PCE-0120,2026-01-10,parkir gluckmart,1.0,x,2000.0,0.0,-4980813.0,Januari,Expense Januari,PARKIR GLUCKMART,False
PCE-0121,2026-01-10,Cabe Paprika Hijau,1.0,pcs,16900.0,0.0,-4997713.0,Januari,Expense Januari,CABE PAPRIKA HIJAU,False
PCE-0122,2026-01-10,Lettuce,398.0,gr,21850.0,0.0,-5019563.0,Januari,Expense Januari,LETTUCE,False
PCE-0123,2026-01-10,Lettuce,316.0,gr,17350.0,0.0,-5036913.0,Januari,Expense Januari,LETTUCE,False
PCE-0124,2026-01-10,es,2.0,pax,20000.0,0.0,-5056913.0,Januari,Expense Januari,ES,False
PCE-0125,2026-01-10,Lemon,900.0,gr,39600.0,0.0,-5096513.0,Januari,Expense Januari,LEMON,False
PCE-0126,2026-01-10,Pisang Cavendish Sunpride,1.0,sisir,20000.0,0.0,-5116513.0,Januari,Expense Januari,PISANG CAVENDISH SUNPRIDE,False
PCE-0127,2026-01-10,Ketumbar Bubuk,1.0,kg,50000.0,0.0,-5166513.0,Januari,Expense Januari,KETUMBAR BUBUK,False
PCE-0128,2026-01-10,Jahe Bubuk,1.0,kg,105000.0,0.0,-5271513.0,Januari,Expense Januari,JAHE BUBUK,False
PCE-0129,2026-01-11,Additional Petty Cash,1.0,time,0.0,5158373.0,-113140.0,Januari,Expense Januari,ADDITIONAL PETTY CASH,True
PCE-0130,2026-01-11,Es Krim Vanilla 8L,1.0,pcs,192105.0,0.0,-305245.0,Januari,Expense Januari,ES KRIM VANILLA 8L,False
PCE-0131,2026-01-11,Anchor Unsalted Butter Portion,50.0,pcs,125000.0,0.0,-430245.0,Januari,Expense Januari,ANCHOR UNSALTED BUTTER PORTION,False
PCE-0132,2026-01-11,Admin Shopee,0.0,,5000.0,0.0,-435245.0,Januari,Expense Januari,ADMIN SHOPEE,False
PCE-0133,2026-01-11,Bogasari Segitiga Biru 1kg,3.0,pcs,46500.0,0.0,-481745.0,Januari,Expense Januari,BOGASARI SEGITIGA BIRU 1KG,False
PCE-0134,2026-01-11,Bogasari Cakra Kembar 1kg,3.0,pcs,48000.0,0.0,-529745.0,Januari,Expense Januari,BOGASARI CAKRA KEMBAR 1KG,False
PCE-0135,2026-01-11,Segitiga Biru Premium 1kg,10.0,pcs,133650.0,0.0,-663395.0,Januari,Expense Januari,SEGITIGA BIRU PREMIUM 1KG,False
PCE-0136,2026-01-11,Cakra Kembar Premium 1kg,8.0,pcs,110880.0,0.0,-774275.0,Januari,Expense Januari,CAKRA KEMBAR PREMIUM 1KG,False
PCE-0137,2026-01-11,McLewis Mayo Ori 1kg,6.0,pcs,145570.0,0.0,-919845.0,Januari,Expense Januari,MCLEWIS MAYO ORI 1KG,False
PCE-0138,2026-01-11,Greenfields UHT 1L,12.0,pcs,258000.0,0.0,-1177845.0,Januari,Expense Januari,GREENFIELDS UHT 1L,False
PCE-0139,2026-01-11,ongkir shopeexpress,0.0,,20000.0,0.0,-1197845.0,Januari,Expense Januari,ONGKIR SHOPEEXPRESS,False
PCE-0140,2026-01-11,es,2.0,pax,20000.0,0.0,-1217845.0,Januari,Expense Januari,ES,False
PCE-0141,2026-01-11,Telur Ayam,3.0,kg,81000.0,0.0,-1298845.0,Januari,Expense Januari,TELUR AYAM,False
PCE-0142,2026-01-11,Minyak Kita 1L,12.0,pcs,215000.0,0.0,-1513845.0,Januari,Expense Januari,MINYAK KITA 1L,False
PCE-0143,2026-01-11,Beras Premium,5.0,kg,80000.0,0.0,-1593845.0,Januari,Expense Januari,BERAS PREMIUM,False
PCE-0144,2026-01-12,Diamond Full Cream 1L,12.0,pcs,264000.0,0.0,-1857845.0,Januari,Expense Januari,DIAMOND FULL CREAM 1L,False
PCE-0145,2026-01-12,Admin Shopee,0.0,,5000.0,0.0,-1862845.0,Januari,Expense Januari,ADMIN SHOPEE,False
PCE-0146,2026-01-12,Umami Maizena 1kg,8.0,pcs,184000.0,0.0,-2046845.0,Januari,Expense Januari,UMAMI MAIZENA 1KG,False
PCE-0147,2026-01-12,Full Cream UHT Diamond 1L,8.0,pcs,176000.0,0.0,-2222845.0,Januari,Expense Januari,FULL CREAM UHT DIAMOND 1L,False
PCE-0148,2026-01-12,parkir gluckmart,1.0,x,2000.0,0.0,-2224845.0,Januari,Expense Januari,PARKIR GLUCKMART,False
PCE-0149,2026-01-12,Indomilk UHT Cho9,2.0,pcs,29000.0,0.0,-2253845.0,Januari,Expense Januari,INDOMILK UHT CHO9,False
PCE-0150,2026-01-12,365 Cabe Hju Bsr1,1.0,pax,9900.0,0.0,-2263745.0,Januari,Expense Januari,365 CABE HJU BSR1,False
PCE-0151,2026-01-12,Pisang Cavendish Sunpride,840.0,gr,18440.0,0.0,-2282185.0,Januari,Expense Januari,PISANG CAVENDISH SUNPRIDE,False
PCE-0152,2026-01-12,Lettuce,430.0,gr,23620.0,0.0,-2305805.0,Januari,Expense Januari,LETTUCE,False
PCE-0153,2026-01-12,Lettuce,416.0,gr,22840.0,0.0,-2328645.0,Januari,Expense Januari,LETTUCE,False
PCE-0154,2026-01-12,Air Isi Ulang,2.0,pcs,14000.0,0.0,-2342645.0,Januari,Expense Januari,AIR ISI ULANG,False
PCE-0155,2026-01-12,es,3.0,pax,30000.0,0.0,-2372645.0,Januari,Expense Januari,ES,False
PCE-0156,2026-01-12,Batre A3 4's,1.0,pax,10000.0,0.0,-2382645.0,Januari,Expense Januari,BATRE A3 4'S,False
PCE-0157,2026-01-12,Bawang Bombay,3.0,kg,114000.0,0.0,-2496645.0,Januari,Expense Januari,BAWANG BOMBAY,False
PCE-0158,2026-01-12,Kikkoman Gochujang Sauce 300gr,10.0,pcs,235000.0,0.0,-2731645.0,Januari,Expense Januari,KIKKOMAN GOCHUJANG SAUCE 300GR,False
PCE-0159,2026-01-12,PP Clip Vtec No.1/Vt-6031,1.0,pcs,1800.0,0.0,-2733445.0,Januari,Expense Januari,PP CLIP VTEC NO.1/VT-6031,False
PCE-0160,2026-01-12,PP Clip Vtec No.5/Vt-6050,1.0,pcs,4200.0,0.0,-2737645.0,Januari,Expense Januari,PP CLIP VTEC NO.5/VT-6050,False
PCE-0161,2026-01-12,Thermal Forte 57x40,40.0,pcs,120000.0,0.0,-2857645.0,Januari,Expense Januari,THERMAL FORTE 57X40,False
PCE-0162,2026-01-12,parkir toko merah,1.0,x,2000.0,0.0,-2859645.0,Januari,Expense Januari,PARKIR TOKO MERAH,False
PCE-0163,2026-01-12,Scotch B ID-30 Pro Spon 2s,1.0,pcs,15900.0,0.0,-2875545.0,Januari,Expense Januari,SCOTCH B ID-30 PRO SPON 2S,False
PCE-0164,2026-01-12,Pltx Sbt Stasinls 2s XL,1.0,pcs,46200.0,0.0,-2921745.0,Januari,Expense Januari,PLTX SBT STASINLS 2S XL,False
PCE-0165,2026-01-12,MM Clear RF 440 Apel,2.0,pcs,7600.0,0.0,-2929345.0,Januari,Expense Januari,MM CLEAR RF 440 APEL,False
PCE-0166,2026-01-12,Stella All in/1 55g Balinese Jsmn,2.0,pcs,19224.0,0.0,-2948569.0,Januari,Expense Januari,STELLA ALL IN/1 55G BALINESE JSMN,False
PCE-0167,2026-01-12,Harpic 450 Lemon,1.0,pcs,28115.0,0.0,-2976684.0,Januari,Expense Januari,HARPIC 450 LEMON,False
PCE-0168,2026-01-12,MM Clear RF 440 Lavender,2.0,pcs,7600.0,0.0,-2984284.0,Januari,Expense Januari,MM CLEAR RF 440 LAVENDER,False
PCE-0169,2026-01-12,So Soft Det Liq 700ml Rose&Wtrlily,1.0,pcs,11137.0,0.0,-2995421.0,Januari,Expense Januari,SO SOFT DET LIQ 700ML ROSE&WTRLILY,False
PCE-0170,2026-01-12,Wipol RF 750 Srh&Jrk,1.0,pcs,12592.0,0.0,-3008013.0,Januari,Expense Januari,WIPOL RF 750 SRH&JRK,False
PCE-0171,2026-01-12,Hit Ars 400 Cttn Pwd,1.0,pcs,23488.0,0.0,-3031501.0,Januari,Expense Januari,HIT ARS 400 CTTN PWD,False
PCE-0172,2026-01-12,Stella Ars 175 Balinese Jsmn,1.0,pcs,15300.0,0.0,-3046801.0,Januari,Expense Januari,STELLA ARS 175 BALINESE JSMN,False
PCE-0173,2026-01-12,Bagus Sibiru 2sx5,1.0,pcs,20160.0,0.0,-3066961.0,Januari,Expense Januari,BAGUS SIBIRU 2SX5,False
PCE-0174,2026-01-12,Stella Bath 10 Blue,2.0,pcs,16680.0,0.0,-3083641.0,Januari,Expense Januari,STELLA BATH 10 BLUE,False
PCE-0175,2026-01-12,Dahlia Napt Fln Frs Flo K.31,1.0,pcs,18830.0,0.0,-3102471.0,Januari,Expense Januari,DAHLIA NAPT FLN FRS FLO K.31,False
PCE-0176,2026-01-12,plastic shopbag,1.0,pcs,300.0,0.0,-3102771.0,Januari,Expense Januari,PLASTIC SHOPBAG,False
PCE-0177,2026-01-12,One Two Tamping Mate,1.0,pcs,34900.0,0.0,-3137671.0,Januari,Expense Januari,ONE TWO TAMPING MATE,False
