item_key,item_name,category_key,count_date,qty_counted,unit,source_sheet
CUP SAOS STAINLESS,CUP SAOS STAINLESS,condiment,2026-02-05,0.0,pcs,5 Februari 2026
CURRY HIJAU,CURRY HIJAU,sauce,2026-02-05,1429.0,g,5 Februari 2026
CREAMER,CREAMER,condiment,2026-02-05,477.0,g,5 Februari 2026
CREAMY BUTTERMILK SAUCE,CREAMY BUTTERMILK SAUCE,sauce,2026-02-05,916.0,ml,5 Februari 2026
CREAMY LEMON GARLIC,CREAMY LEMON GARLIC,sauce,2026-02-05,840.0,pcs,5 Februari 2026
CHICKEN SANDWICH,CHICKEN SANDWICH,sauce,2026-02-05,147.0,g,5 Februari 2026
DADA AYAM,DADA AYAM,food_main,2026-02-05,15881.0,g,5 Februari 2026
DAUN JERUK,DAUN JERUK,food_main,2026-02-05,0.0,g,5 Februari 2026
DAUN KETUMBAR,Daun Ketumbar,food_main,2026-02-05,0.0,g,5 Februari 2026
DELIVERY BAG IDOLA 15,DELIVERY BAG IDOLA 15,condiment,2026-02-05,200.0,pcs,5 Februari 2026
DELIVERY BAG IDOLA 30,DELIVERY BAG IDOLA 30,condiment,2026-02-05,150.0,pcs,5 Februari 2026
DELIVERY BAG IDOLA 24,DELIVERY BAG IDOLA 24,condiment,2026-02-05,100.0,pcs,5 Februari 2026
DELIVERY BAG PARTY 20,DELIVERY BAG PARTY 20,condiment,2026-02-05,0.0,pcs,5 Februari 2026
DELIVERY BAG PARTY 28,DELIVERY BAG PARTY 28,condiment,2026-02-05,125.0,pcs,5 Februari 2026
DIAMOND ICE CREAM VANILLA,DIAMOND ICE CREAM VANILLA,beverage_main,2026-02-05,3164.0,ml,5 Februari 2026
DIAMOND SOFT MIX CHOCOLATE,DIAMOND SOFT MIX CHOCOLATE,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
DIAMOND SOFT MIX VANILLA,DIAMOND SOFT MIX VANILLA,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
DIAMOND UHT,DIAMOND UHT,food_main,2026-02-05,7390.0,pcs,5 Februari 2026
DIAMOND UHT COKLAT,DIAMOND UHT COKLAT,food_main,2026-02-05,522.0,ml,5 Februari 2026
EMAKU KOREAN SPICY,EMAKU KOREAN SPICY,food_main,2026-02-05,0.0,g,5 Februari 2026
ES BATU,Es Batu,beverage_main,2026-02-05,10000.0,g,5 Februari 2026
FF CRISSCUT,FF CRISSCUT,food_main,2026-02-05,737.0,g,5 Februari 2026
FF STRAIGH CUT,FF STRAIGH CUT,food_main,2026-02-05,23462.0,g,5 Februari 2026
FLOOR CLEANER,FLOOR CLEANER,condiment,2026-02-05,4880.0,ml,5 Februari 2026
GALON,GALON,beverage_main,2026-02-05,36000.0,ml,5 Februari 2026
GARAM,GARAM,food_main,2026-02-05,1623.0,g,5 Februari 2026
GARAM MASALA,Garam Masala,food_main,2026-02-05,388.0,g,5 Februari 2026
GARLIC PARMESAN,GARLIC PARMESAN,sauce,2026-02-05,715.0,g,5 Februari 2026
GARLIC POWDER,GARLIC POWDER,food_main,2026-02-05,256.0,g,5 Februari 2026
GARPU STAINLESS,GARPU STAINLESS,condiment,2026-02-05,5.0,pcs,5 Februari 2026
GAS 50 KG,GAS 50 KG,condiment,2026-02-05,2.0,pcs,5 Februari 2026
GINGER POWDER,GINGER POWDER,food_main,2026-02-05,220.0,g,5 Februari 2026
GLASS CLEANER,GLASS CLEANER,condiment,2026-02-05,0.0,ml,5 Februari 2026
GULA CAIR,GULA CAIR,food_main,2026-02-05,8435.0,g,5 Februari 2026
GULA PASIR,GULA PASIR,food_main,2026-02-05,2590.0,g,5 Februari 2026
HAND SOAP,HAND SOAP,condiment,2026-02-05,0.0,ml,5 Februari 2026
KIKKOMAN KOREAN CHILLI GOCHUJANG,KIKKOMAN KOREAN CHILLI GOCHUJANG,food_main,2026-02-05,300.0,g,5 Februari 2026
HONEY CHILI,HONEY CHILI,sauce,2026-02-05,1202.0,g,5 Februari 2026
HORLIC POWDER,HORLIC POWDER,beverage_main,2026-02-05,0.0,g,5 Februari 2026
HOT SPICY,HOT SPICY,sauce,2026-02-05,3494.0,g,5 Februari 2026
HOT CREAMY GARLIC,HOT CREAMY GARLIC,sauce,2026-02-05,1432.0,g,5 Februari 2026
JINTEN POWDER,JINTEN POWDER,food_main,2026-02-05,1877.0,g,5 Februari 2026
KECAP INGGRIS,KECAP INGGRIS,food_main,2026-02-05,30.0,g,5 Februari 2026
KEJU SLICE,KEJU SLICE,food_main,2026-02-05,64.0,pcs,5 Februari 2026
KETUMBAR POWDER,KETUMBAR POWDER,food_main,2026-02-05,288.0,g,5 Februari 2026
KNORR BEEF POWDER,KNORR BEEF POWDER,food_main,2026-02-05,898.0,g,5 Februari 2026
KNORR CHEESE,Knorr cheese,food_main,2026-02-05,195.0,g,5 Februari 2026
KUNYIT POWDER,Kunyit Powder,food_main,2026-02-05,136.0,g,5 Februari 2026
LAROME VANILLA POWDER,LAROME VANILLA POWDER,food_main,2026-02-05,250.0,g,5 Februari 2026
LADA PUTIH,LADA PUTIH,food_main,2026-02-05,0.0,g,5 Februari 2026
LEMON,Lemon,food_main,2026-02-05,1826.0,g,5 Februari 2026
LETTUCE,LETTUCE,food_main,2026-02-05,840.0,g,5 Februari 2026
LID CUP 14 OZ,LID CUP 14 OZ,condiment,2026-02-05,1515.0,pcs,5 Februari 2026
LID ICE CREAM LAR,LID ICE CREAM Lar,condiment,2026-02-05,1921.0,pcs,5 Februari 2026
LIQUID SMOKE,LIQUID SMOKE,food_main,2026-02-05,2537.0,ml,5 Februari 2026
LOTUS BISCOFF,LOTUS BISCOFF,beverage_main,2026-02-05,1179.0,pcs,5 Februari 2026
MADU,MADU,food_main,2026-02-05,0.0,g,5 Februari 2026
MAIZENA,MAIZENA,food_main,2026-02-05,2250.0,g,5 Februari 2026
MAKARONI,MAKARONI,food_main,2026-02-05,2500.0,g,5 Februari 2026
HOT LAVA SAUCE,HOT LAVA SAUCE,food_main,2026-02-05,18600.0,g,5 Februari 2026
MANGKOK ENAMEL,MANGKOK ENAMEL,condiment,2026-02-05,0.0,pcs,5 Februari 2026
MAPPLE SYRUP,MAPPLE SYRUP,food_main,2026-02-05,11480.0,ml,5 Februari 2026
MARINASI BUTTERMILK,MARINASI BUTTERMILK,marinade,2026-02-05,0.0,g,5 Februari 2026
MARINASI NASVILE,MARINASI NASVILE,marinade,2026-02-05,0.0,g,5 Februari 2026
MAYONAISE KEWPIE,Mayonaise Kewpie,food_main,2026-02-05,2309.0,g,5 Februari 2026
MC LEWIS MAYONAISE,MC Lewis Mayonaise,food_main,2026-02-05,4726.0,g,5 Februari 2026
MICIN,MICIN,food_main,2026-02-05,1951.0,g,5 Februari 2026
MINYAK GORENG,MINYAK GORENG,food_main,2026-02-05,22000.0,pcs,5 Februari 2026
YELLOW MUSTARD,YELLOW MUSTARD,food_main,2026-02-05,7187.0,g,5 Februari 2026
NUTELLA,NUTELLA,beverage_main,2026-02-05,1695.0,g,5 Februari 2026
OAT,OAT,food_main,2026-02-05,2000.0,g,5 Februari 2026
ONION POWDER,ONION POWDER,food_main,2026-02-05,702.0,g,5 Februari 2026
PAHA ATAS,PAHA ATAS,food_main,2026-02-05,56.0,pcs,5 Februari 2026
PAHA BAWAH,PAHA BAWAH,food_main,2026-02-05,77.0,pcs,5 Februari 2026
PALA POWDER,PALA POWDER,food_main,2026-02-05,377.0,g,5 Februari 2026
PAPER BAG MERAH,PAPER BAG MERAH,condiment,2026-02-05,825.0,pcs,5 Februari 2026
PAPER BAG PUTIH,PAPER BAG PUTIH,condiment,2026-02-05,500.0,pcs,5 Februari 2026
PAPER TRAY (L),PAPER TRAY (L),condiment,2026-02-05,12.0,pcs,5 Februari 2026
TRAY MELAMIN,TRAY MELAMIN,condiment,2026-02-05,0.0,pcs,5 Februari 2026
PAPER WRAP,PAPER WRAP,condiment,2026-02-05,3892.0,pcs,5 Februari 2026
PAPRIKA POWDER,PAPRIKA POWDER,food_main,2026-02-05,1844.0,g,5 Februari 2026
PARMESAN POWDER,PARMESAN POWDER,food_main,2026-02-05,1291.0,g,5 Februari 2026
PARSLEY KERING,PARSLEY KERING,food_main,2026-02-05,175.0,g,5 Februari 2026
PEACH BUAH KALENG,PEACH BUAH KALENG,beverage_main,2026-02-05,2108.0,g,5 Februari 2026
MONIN PEACH SYRUP,MONIN PEACH SYRUP,beverage_main,2026-02-05,6600.0,ml,5 Februari 2026
PEANUT DRESSING,PEANUT DRESSING,sauce,2026-02-05,281.0,g,5 Februari 2026
PERISA RED PASTA,PERISA RED PASTA,food_main,2026-02-05,399.0,g,5 Februari 2026
PEWARNA KUNING,PEWARNA KUNING,food_main,2026-02-05,218.0,ml,5 Februari 2026
PICKLES,PICKLES,food_main,2026-02-05,720.0,g,5 Februari 2026
PIRING ENAMEL,PIRING ENAMEL,condiment,2026-02-05,0.0,pcs,5 Februari 2026
PISANG,PISANG,beverage_main,2026-02-05,3.0,pcs,5 Februari 2026
PISAU STAINLESS,PISAU STAINLESS,condiment,2026-02-05,8.0,pcs,5 Februari 2026
RAISING CANE,RAISING CANE,sauce,2026-02-05,1959.0,g,5 Februari 2026
RED VELVET POWDER,RED VELVET POWDER,food_main,2026-02-05,582.0,g,5 Februari 2026
ROSEMARY POWDER,ROSEMARY POWDER,food_main,2026-02-05,280.0,g,5 Februari 2026
ROYCO AYAM,ROYCO AYAM,food_main,2026-02-05,1475.0,g,5 Februari 2026
RUSSIAN DRESSING,Russian dressing,sauce,2026-02-05,433.0,g,5 Februari 2026
SABUN CUCI PIRING,SABUN CUCI PIRING,condiment,2026-02-05,5000.0,ml,5 Februari 2026
SALTED CARAMEL SYRUP,SALTED CARAMEL SYRUP,beverage_main,2026-02-05,148.0,ml,5 Februari 2026
SAOS SAMBAL,SAOS SAMBAL,food_main,2026-02-05,1900.0,g,5 Februari 2026
SAOS TOMAT,SAOS TOMAT,food_main,2026-02-05,1244.0,g,5 Februari 2026
SAUS TIRAM,SAUS TIRAM,food_main,2026-02-05,570.0,g,5 Februari 2026
SAYAP AYAM,SAYAP AYAM,food_main,2026-02-05,504.0,pcs,5 Februari 2026
SEDOTAN BESAR,SEDOTAN BESAR,condiment,2026-02-05,0.0,pcs,5 Februari 2026
SEDOTAN KECIL,SEDOTAN KECIL,condiment,2026-02-05,174.0,pcs,5 Februari 2026
SENDOK STAINLESS,SENDOK STAINLESS,condiment,2026-02-05,0.0,pcs,5 Februari 2026
SKM,SKM,condiment,2026-02-05,206.0,ml,5 Februari 2026
PEANUT BUTTER,PEANUT BUTTER,beverage_main,2026-02-05,907.0,g,5 Februari 2026
SODA CHARGER,SODA CHARGER,beverage_main,2026-02-05,25.0,pcs,5 Februari 2026
SUNFLOWER OIL,SUNFLOWER OIL,food_main,2026-02-05,108.0,ml,5 Februari 2026
SYRUP HAZELNUT,SYRUP HAZELNUT,food_main,2026-02-05,500.0,ml,5 Februari 2026
SYRUP RUM,SYRUP RUM,food_main,2026-02-05,750.0,ml,5 Februari 2026
TELUR AYAM,TELUR AYAM,food_main,2026-02-05,3230.0,g,5 Februari 2026
TEPUNG CAKRA KEMBAR,TEPUNG CAKRA KEMBAR,food_main,2026-02-05,4000.0,g,5 Februari 2026
TEPUNG ROTI,Tepung Roti,food_main,2026-02-05,0.0,g,5 Februari 2026
TEPUNG SEGITIGA BIRU,TEPUNG SEGITIGA BIRU,food_main,2026-02-05,5000.0,g,5 Februari 2026
TIKKA MASALA,Tikka masala,sauce,2026-02-05,850.0,g,5 Februari 2026
TISSUE HANDTOWEL,TISSUE HANDTOWEL,condiment,2026-02-05,29.0,pcs,5 Februari 2026
TISSUE MAKAN,TISSUE MAKAN,condiment,2026-02-05,3.0,pcs,5 Februari 2026
TISSUE ROLL,TISSUE ROLL,condiment,2026-02-05,19.0,pcs,5 Februari 2026
TOMAT FRESH,TOMAT FRESH,beverage_main,2026-02-05,108.0,g,5 Februari 2026
TOMATO PELLED,Tomato Pelled,food_main,2026-02-05,0.0,g,5 Februari 2026
TRASH BAG,TRASH BAG,food_main,2026-02-05,0.0,pcs,5 Februari 2026
UNSALTED BUTTER (KG),UNSALTED BUTTER (KG),food_main,2026-02-05,348.0,g,5 Februari 2026
UNSALTED BUTTER PORTION,UNSALTED BUTTER PORTION,food_main,2026-02-05,71.0,pcs,5 Februari 2026
VANILLA SYRUP,VANILLA SYRUP,food_main,2026-02-05,500.0,ml,5 Februari 2026
COOKING CREAM,COOKING CREAM,food_main,2026-02-05,1755.0,ml,5 Februari 2026
WIJEN,WIJEN,beverage_main,2026-02-05,60.0,g,5 Februari 2026
SALMON,Salmon,food_main,2026-02-05,1000.0,g,5 Februari 2026
PAPRIKA HIJAU,Paprika hijau,food_main,2026-02-05,172.0,g,5 Februari 2026
SRIRACHA SAOS,Sriracha saos,food_main,2026-02-05,0.0,g,5 Februari 2026
HANDGLOVES PLASTIK,Handgloves plastik,condiment,2026-02-05,18.0,pcs,5 Februari 2026
SAUS SACHET SAMBAL,Saus sachet sambal,food_main,2026-02-05,33.0,pcs,5 Februari 2026
CRUMBLE LOTUS,Crumble lotus,beverage_main,2026-02-05,0.0,g,5 Februari 2026
RICE VINEGAR,Rice vinegar,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
SOY SAUCE,Soy sauce,beverage_main,2026-02-05,300.0,g,5 Februari 2026
KUBIS PUTIH,Kubis Putih,beverage_main,2026-02-05,667.0,g,5 Februari 2026
KUBIS UNGU,Kubis Ungu,beverage_main,2026-02-05,1000.0,g,5 Februari 2026
KERTAS NASI,Kertas Nasi,condiment,2026-02-05,1000.0,pcs,5 Februari 2026
SALMON SANDWICH,Salmon sandwich,sauce,2026-02-05,608.0,g,5 Februari 2026
DAUN CURRY,Daun curry,food_main,2026-02-05,142.0,g,5 Februari 2026
ACAR ONION,Acar Onion,sauce,2026-02-05,0.0,g,5 Februari 2026
ALAS KERTAS TRAY,Alas kertas tray,condiment,2026-02-05,7020.0,pcs,5 Februari 2026
PEWARNA MERAH,Pewarna merah,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
DR PEPPER ORIGINAL,Dr Pepper Original,beverage_main,2026-02-05,11.0,pcs,5 Februari 2026
DR PEPPER STRAWBERRY CREAM,Dr Pepper Strawberry cream,beverage_main,2026-02-05,42.0,pcs,5 Februari 2026
ESPRESSO,Espresso,beverage_main,2026-02-05,0.0,ml,5 Februari 2026
SPORK HITAM,Spork hitam,condiment,2026-02-05,154.0,pcs,5 Februari 2026
SAUCE MAC & CHEESE,Sauce Mac & Cheese,sauce,2026-02-05,388.0,g,5 Februari 2026
ITALIAN HERBS,Italian Herbs,food_main,2026-02-05,149.0,g,5 Februari 2026
CHILI FLAKE,Chili Flake,food_main,2026-02-05,287.0,g,5 Februari 2026
APPLE VINEGAR,Apple Vinegar,food_main,2026-02-05,0.0,ml,5 Februari 2026
LAJU KOPI,LAJU KOPI,other,2026-02-05,0.0,pcs,5 Februari 2026
BEANS HOT,Beans hot,beverage_main,2026-02-05,0.0,g,5 Februari 2026
BEANS ICE,Beans ice,beverage_main,2026-02-05,403.0,g,5 Februari 2026
SIRUP ALPEN,Sirup Alpen,beverage_main,2026-02-05,889.0,ml,5 Februari 2026
NIRA,Nira,beverage_main,2026-02-05,1578.0,ml,5 Februari 2026
CREAMER BUBUK,Creamer bubuk,beverage_main,2026-02-05,740.0,g,5 Februari 2026
CREAMER CAIR,Creamer cair,beverage_main,2026-02-05,174.0,ml,5 Februari 2026
UHT,UHT,beverage_main,2026-02-05,4000.0,ml,5 Februari 2026
LEMON,Lemon,beverage_main,2026-02-05,0.0,g,5 Februari 2026
TARO POWDER,Taro powder,beverage_main,2026-02-05,874.0,g,5 Februari 2026
KEJU POWDER,Keju powder,beverage_main,2026-02-05,591.0,g,5 Februari 2026
CUP LAJU,Cup laju,condiment,2026-02-05,207.0,pcs,5 Februari 2026
SEAL CUP,Seal cup,condiment,2026-02-05,1.0,pcs,5 Februari 2026
SKM,SKM,beverage_main,2026-02-05,490.0,g,5 Februari 2026
SEDOTAN,Sedotan,condiment,2026-02-05,390.0,pcs,5 Februari 2026
MINERAL WATER 600ML,MINERAL WATER 600ML,beverage_main,2026-03-03,0.0,pcs,3 Maret 2026
ADONAN WAFFLE,ADONAN WAFFLE,food_main,2026-03-03,3745.0,g,3 Maret 2026
APEL BUAH,APEL BUAH,food_main,2026-03-03,855.0,g,3 Maret 2026
APPLE CINNAMON,APPLE CINNAMON,food_main,2026-03-03,90.0,g,3 Maret 2026
APPLE SYRUP MONIN,Apple Syrup Monin,beverage_main,2026-03-03,10450.0,ml,3 Maret 2026
AW 250 ML,AW 250 ML,beverage_main,2026-03-03,16.0,pcs,3 Maret 2026
BORA 250ML,BORA 250ml,beverage_main,2026-03-03,24.0,pcs,3 Maret 2026
BACON,BACON,food_main,2026-03-03,1050.0,g,3 Maret 2026
BAKING POWDER HERCULES,BAKING POWDER HERCULES,food_main,2026-03-03,951.0,g,3 Maret 2026
BAKING POWDER KOEPOE,BAKING POWDER KOEPOE,food_main,2026-03-03,0.0,g,3 Maret 2026
BAKING SODA KOEPOE,Baking Soda Koepoe,food_main,2026-03-03,1128.0,g,3 Maret 2026
CREAM CHEESE,CREAM CHEESE,sauce,2026-03-03,1675.0,g,3 Maret 2026
BAWANG BOMBAY,BAWANG BOMBAY,food_main,2026-03-03,1587.0,g,3 Maret 2026
BAWANG BOMBAY MERAH,BAWANG BOMBAY MERAH,beverage_main,2026-03-03,0.0,g,3 Maret 2026
BAWANG MERAH,Bawang Merah,food_main,2026-03-03,0.0,g,3 Maret 2026
BAWANG PUTIH,BAWANG PUTIH,food_main,2026-03-03,625.0,g,3 Maret 2026
BAYLEAF,BAYLEAF,food_main,2026-03-03,39.0,g,3 Maret 2026
BBQ,BBQ,sauce,2026-03-03,965.0,g,3 Maret 2026
BERAS,BERAS,beverage_main,2026-03-03,6750.0,g,3 Maret 2026
BIG MAC,BIG MAC,sauce,2026-03-03,2375.0,g,3 Maret 2026
BLACK PAPER POWDER,BLACK PAPER POWDER,food_main,2026-03-03,1886.0,g,3 Maret 2026
BLACK TEA,BLACK TEA,beverage_main,2026-03-03,4686.0,g,3 Maret 2026
BOX CHICKEN WAFFLE (L),BOX CHICKEN WAFFLE (L),condiment,2026-03-03,2182.0,pcs,3 Maret 2026
BOX SANDWHICH (M),BOX SANDWHICH (M),condiment,2026-03-03,393.0,pcs,3 Maret 2026
BOX NASI,BOX NASI,condiment,2026-03-03,433.0,pcs,3 Maret 2026
BROWN SUGAR,Brown Sugar,food_main,2026-03-03,342.0,g,3 Maret 2026
BROWN TOAST,Brown Toast,food_main,2026-03-03,85.0,pcs,3 Maret 2026
BUFFALO,BUFFALO,sauce,2026-03-03,2390.0,g,3 Maret 2026
BUMBU NASHVILLE KERING,BUMBU NASHVILLE KERING,beverage_main,2026-03-03,545.0,g,3 Maret 2026
BUMBU TEPUNG AYAM,BUMBU TEPUNG AYAM,beverage_main,2026-03-03,1220.0,g,3 Maret 2026
BURGER BUN,BURGER BUN,food_main,2026-03-03,11.0,pcs,3 Maret 2026
CABAI TEROPONG HIJAU,CABAI TEROPONG HIJAU,food_main,2026-03-03,280.0,g,3 Maret 2026
CABAI RAWIT,CABAI RAWIT,food_main,2026-03-03,800.0,g,3 Maret 2026
CARAMEL SAUCE,CARAMEL SAUCE,beverage_main,2026-03-03,600.0,ml,3 Maret 2026
CAYENNE POWDER,CAYENNE POWDER,food_main,2026-03-03,319.0,g,3 Maret 2026
CHEDDAR BLOCK,CHEDDAR BLOCK,food_main,2026-03-03,0.0,g,3 Maret 2026
CHILLI POWDER YUTAKACHI,CHILLI POWDER YUTAKACHI,food_main,2026-03-03,0.0,g,3 Maret 2026
CHIPOTLE KALENG,Chipotle kaleng,food_main,2026-03-03,1775.0,g,3 Maret 2026
CHIPOTLE DRESSING,Chipotle dressing,sauce,2026-03-03,1255.0,g,3 Maret 2026
CINNAMON POWDER,CINNAMON POWDER,food_main,2026-03-03,310.0,g,3 Maret 2026
COKLAT POWDER,COKLAT POWDER,food_main,2026-03-03,576.0,g,3 Maret 2026
COLA 250 ML,COLA 250 ML,beverage_main,2026-03-03,171.0,pcs,3 Maret 2026
COLATTA CHOCOCHIPS,COLATTA CHOCOCHIPS,food_main,2026-03-03,898.0,g,3 Maret 2026
COLESLAW,COLESLAW,beverage_main,2026-03-03,195.0,g,3 Maret 2026
CUKA,CUKA,food_main,2026-03-03,2550.0,pcs,3 Maret 2026
CUP 14 OZ,CUP 14 OZ,condiment,2026-03-03,165.0,pcs,3 Maret 2026
CUP ICE CREAM LAR,CUP ICE CREAM Lar,condiment,2026-03-03,1660.0,pcs,3 Maret 2026
CUP SAOS PLASTIK 35 ML,CUP SAOS PLASTIK 35 ML,condiment,2026-03-03,376.0,pcs,3 Maret 2026
CUP SAOS PLASTIK 60 ML,CUP SAOS PLASTIK 60 ML,condiment,2026-03-03,284.0,pcs,3 Maret 2026
CUP SAOS STAINLESS,CUP SAOS STAINLESS,condiment,2026-03-03,0.0,pcs,3 Maret 2026
CURRY HIJAU,CURRY HIJAU,sauce,2026-03-03,1325.0,g,3 Maret 2026
CREAMER,CREAMER,condiment,2026-03-03,500.0,g,3 Maret 2026
CREAMY BUTTERMILK SAUCE,CREAMY BUTTERMILK SAUCE,sauce,2026-03-03,1595.0,ml,3 Maret 2026
CREAMY LEMON GARLIC,CREAMY LEMON GARLIC,sauce,2026-03-03,765.0,pcs,3 Maret 2026
CHICKEN SANDWICH,CHICKEN SANDWICH,sauce,2026-03-03,705.0,g,3 Maret 2026
DADA AYAM,DADA AYAM,food_main,2026-03-03,7845.0,g,3 Maret 2026
DAUN JERUK,DAUN JERUK,food_main,2026-03-03,0.0,g,3 Maret 2026
DAUN KETUMBAR,Daun Ketumbar,food_main,2026-03-03,160.0,g,3 Maret 2026
DELIVERY BAG IDOLA 15,DELIVERY BAG IDOLA 15,condiment,2026-03-03,75.0,pcs,3 Maret 2026
DELIVERY BAG IDOLA 30,DELIVERY BAG IDOLA 30,condiment,2026-03-03,180.0,pcs,3 Maret 2026
DELIVERY BAG IDOLA 24,DELIVERY BAG IDOLA 24,condiment,2026-03-03,138.0,pcs,3 Maret 2026
DELIVERY BAG PARTY 20,DELIVERY BAG PARTY 20,condiment,2026-03-03,0.0,pcs,3 Maret 2026
DELIVERY BAG PARTY 28,DELIVERY BAG PARTY 28,condiment,2026-03-03,130.0,pcs,3 Maret 2026
DIAMOND ICE CREAM VANILLA,DIAMOND ICE CREAM VANILLA,beverage_main,2026-03-03,2650.0,ml,3 Maret 2026
