item_key,prev,last,delta,prev_date,last_date
CHEDDAR BLOCK,2000.0,0.0,-2000.0,2026-06-04,2026-07-02
LIQUID SMOKE,2000.0,0.0,-2000.0,2026-06-04,2026-07-02
PICKLES,355.0,2160.0,1805.0,2026-06-04,2026-07-02
DIAMOND UHT COKLAT,2300.0,4000.0,1700.0,2026-06-04,2026-07-02
CUP 14 OZ,114.0,1691.0,1577.0,2026-06-04,2026-07-02
ALAS KERTAS PUTIH BESAR,0.0,1534.0,1534.0,2026-06-04,2026-07-02
CREAMER BUBUK,2500.0,1000.0,-1500.0,2026-06-04,2026-07-02
MOZZARELLA,3501.0,2060.0,-1441.0,2026-06-04,2026-07-02
MADU BOTOL,808.0,2204.0,1396.0,2026-06-04,2026-07-02
FLOOR CLEANER,0.0,1300.0,1300.0,2026-06-04,2026-07-02
APPLE SYRUP MONIN,2361.0,3650.0,1289.0,2026-06-04,2026-07-02
CEKER AYAM,1125.0,2410.0,1285.0,2026-06-04,2026-07-02
PAPER WRAP,1253.0,11.0,-1242.0,2026-06-04,2026-07-02
YELLOW MUSTARD,1236.0,0.0,-1236.0,2026-06-04,2026-07-02
RAISING CANE,1226.0,0.0,-1226.0,2026-06-04,2026-07-02
LETTUCE,1385.0,167.0,-1218.0,2026-06-04,2026-07-02
BAKING SODA KOEPOE,0.0,1216.0,1216.0,2026-06-04,2026-07-02
MAKARONI,4958.0,3806.0,-1152.0,2026-06-04,2026-07-02
BUMBU NASHVILLE KERING,461.0,1585.0,1124.0,2026-06-04,2026-07-02
CUKA,1300.0,2409.0,1109.0,2026-06-04,2026-07-02
PISANG,1100.0,16.0,-1084.0,2026-06-04,2026-07-02
PEACH BUAH KALENG,850.0,1930.0,1080.0,2026-06-04,2026-07-02
SAUCE MAC & CHEESE,1076.0,2126.0,1050.0,2026-06-04,2026-07-02
LOTUS BISCOFF,836.0,1850.0,1014.0,2026-06-04,2026-07-02
TISSUE ROLL,4.0,1000.0,996.0,2026-06-04,2026-07-02
UNSALTED BUTTER (KG),1860.0,875.0,-985.0,2026-06-04,2026-07-02
ROYCO AYAM,451.0,1419.0,968.0,2026-06-04,2026-07-02
HOT SPICY,956.0,0.0,-956.0,2026-06-04,2026-07-02
NUTELLA,573.0,1500.0,927.0,2026-06-04,2026-07-02
BUMBU TEPUNG AYAM,515.0,1442.0,927.0,2026-06-04,2026-07-02
CURRY HIJAU,490.0,1416.0,926.0,2026-06-04,2026-07-02
BUFFALO,920.0,0.0,-920.0,2026-06-04,2026-07-02
PARMESAN POWDER,905.0,0.0,-905.0,2026-06-04,2026-07-02
KNORR BEEF POWDER,0.0,891.0,891.0,2026-06-04,2026-07-02
SKM,1454.0,568.0,-886.0,2026-06-04,2026-07-02
COLESLAW,1113.0,247.0,-866.0,2026-06-04,2026-07-02
BIG MAC,864.0,0.0,-864.0,2026-06-04,2026-07-02
BLACK PAPER POWDER,553.0,1411.0,858.0,2026-06-04,2026-07-02
MAIZENA,5962.0,6807.0,845.0,2026-06-04,2026-07-02
SLEEVE ROTI CHINA,45.0,884.0,839.0,2026-06-04,2026-07-02
BERAS,3217.0,4000.0,783.0,2026-06-04,2026-07-02
BAKING POWDER KOEPOE,1000.0,252.0,-748.0,2026-06-04,2026-07-02
ONION POWDER,0.0,727.0,727.0,2026-06-04,2026-07-02
MICIN,1454.0,730.0,-724.0,2026-06-04,2026-07-02
VANILLA SYRUP,846.0,150.0,-696.0,2026-06-04,2026-07-02
BROWN SUGAR,2000.0,1330.0,-670.0,2026-06-04,2026-07-02
SEDOTAN KECIL,31.0,684.0,653.0,2026-06-04,2026-07-02
GLASS CLEANER,0.0,637.0,637.0,2026-06-04,2026-07-02
PEANUT DRESSING,626.0,0.0,-626.0,2026-06-04,2026-07-02
LAROME VANILLA POWDER,1605.0,1000.0,-605.0,2026-06-04,2026-07-02
CAYENNE POWDER,1898.0,1302.0,-596.0,2026-06-04,2026-07-02
BAWANG BOMBAY,1707.0,1111.0,-596.0,2026-06-04,2026-07-02
CARAMEL SAUCE,1071.0,1633.0,562.0,2026-06-04,2026-07-02
NIRA,0.0,533.0,533.0,2026-06-04,2026-07-02
ICE CREAM VANILLA,8000.0,7500.0,-500.0,2026-06-04,2026-07-02
SALTED CARAMEL SYRUP,0.0,490.0,490.0,2026-06-04,2026-07-02
LID CUP 14 OZ,1004.0,514.0,-490.0,2026-06-04,2026-07-02
LID ICE CREAM LAR,2178.0,1691.0,-487.0,2026-06-04,2026-07-02
KETUMBAR POWDER,915.0,451.0,-464.0,2026-06-04,2026-07-02
BOX SANDWHICH (M),257.0,720.0,463.0,2026-06-04,2026-07-02
COKLAT POWDER,240.0,650.0,410.0,2026-06-04,2026-07-02
SANTAN / KRIM KELAPA KARA,1000.0,600.0,-400.0,2026-06-04,2026-07-02
COLATTA CHOCOCHIPS,500.0,104.0,-396.0,2026-06-04,2026-07-02
GARLIC POWDER,1139.0,1529.0,390.0,2026-06-04,2026-07-02
ADONAN WAFFLE,2220.0,1832.0,-388.0,2026-06-04,2026-07-02
BLACK TEA,1306.0,934.0,-372.0,2026-06-04,2026-07-02
RUSSIAN DRESSING,1130.0,760.0,-370.0,2026-06-04,2026-07-02
KNORR CHEESE,740.0,371.0,-369.0,2026-06-04,2026-07-02
CREAMER CAIR,0.0,360.0,360.0,2026-06-04,2026-07-02
KUNYIT POWDER,40.0,380.0,340.0,2026-06-04,2026-07-02
BAWANG PUTIH,0.0,328.0,328.0,2026-06-04,2026-07-02
BEANS ICE,517.0,191.0,-326.0,2026-06-04,2026-07-02
CREAM CHEESE,325.0,0.0,-325.0,2026-06-04,2026-07-02
ALAS KERTAS TRAY,9.0,319.0,310.0,2026-06-04,2026-07-02
BAKING POWDER HERCULES,705.0,1000.0,295.0,2026-06-04,2026-07-02
LEMON,0.0,278.0,278.0,2026-06-04,2026-07-02
SAUS TIRAM,520.0,248.0,-272.0,2026-06-04,2026-07-02
SIRUP ALPEN,220.0,475.0,255.0,2026-06-04,2026-07-02
SOY SUCE,175.0,427.0,252.0,2026-06-04,2026-07-02
BOX CHICKEN WAFFLE (L),787.0,543.0,-244.0,2026-06-04,2026-07-02
CHILI FLAKE,238.0,0.0,-238.0,2026-06-04,2026-07-02
TARO POWDER,475.0,700.0,225.0,2026-06-04,2026-07-02
DAUN BAWANG,440.0,219.0,-221.0,2026-06-04,2026-07-02
CABAI TEROPONG HIJAU,215.0,0.0,-215.0,2026-06-04,2026-07-02
ISIAN ROTI CHINA SZECHUAN,337.0,123.0,-214.0,2026-06-04,2026-07-02
DAUN JERUK,0.0,206.0,206.0,2026-06-04,2026-07-02
SRIRACHA SAOS,195.0,0.0,-195.0,2026-06-04,2026-07-02
CUP ICE CREAM LAR,1122.0,929.0,-193.0,2026-06-04,2026-07-02
WIJEN,182.0,0.0,-182.0,2026-06-04,2026-07-02
ISIAN ROTI CHINA ORI,389.0,564.0,175.0,2026-06-04,2026-07-02
GINGER POWDER,128.0,303.0,175.0,2026-06-04,2026-07-02
KECAP INGGRIS,504.0,331.0,-173.0,2026-06-04,2026-07-02
BAWANG MERAH,165.0,0.0,-165.0,2026-06-04,2026-07-02
MINERAL WATER 600ML,8.0,171.0,163.0,2026-06-04,2026-07-02
JINTEN POWDER,842.0,1000.0,158.0,2026-06-04,2026-07-02
SENDOK GARPU PLASTIK,0.0,150.0,150.0,2026-06-04,2026-07-02
CINNAMON POWDER,144.0,0.0,-144.0,2026-06-04,2026-07-02
DELIVERY BAG PARTY 28,7.0,150.0,143.0,2026-06-04,2026-07-02
CREAMER,134.0,0.0,-134.0,2026-06-04,2026-07-02
PEWARNA KUNING,1037.0,904.0,-133.0,2026-06-04,2026-07-02
DAUN SALAM,135.0,259.0,124.0,2026-06-04,2026-07-02
KEJU POWDER,178.0,300.0,122.0,2026-06-04,2026-07-02
CHIPOTLE DRESSING,755.0,637.0,-118.0,2026-06-04,2026-07-02
PAPRIKA POWDER,1380.0,1496.0,116.0,2026-06-04,2026-07-02
MINYAK WIJEN,317.0,207.0,-110.0,2026-06-04,2026-07-02
KUAH CURRY,683.0,792.0,109.0,2026-06-04,2026-07-02
ITALIAN HERBS,98.0,0.0,-98.0,2026-06-04,2026-07-02
CUP 150 ML,59.0,157.0,98.0,2026-06-04,2026-07-02
PARSLEY FRESH,250.0,154.0,-96.0,2026-06-04,2026-07-02
DAUN KETUMBAR,95.0,0.0,-95.0,2026-06-04,2026-07-02
CHILI OIL,466.0,561.0,95.0,2026-06-04,2026-07-02
RUMPUT LAUT,92.0,185.0,93.0,2026-06-04,2026-07-02
SEREH,118.0,207.0,89.0,2026-06-04,2026-07-02
SYRUP HAZELNUT,0.0,86.0,86.0,2026-06-04,2026-07-02
DELIVERY BAG IDOLA 24,18.0,100.0,82.0,2026-06-04,2026-07-02
LIME POWDER,800.0,724.0,-76.0,2026-06-04,2026-07-02
TUTUP BOWL,27.0,97.0,70.0,2026-06-04,2026-07-02
BOWL KERTAS,27.0,93.0,66.0,2026-06-04,2026-07-02
KEJU SLICE,96.0,31.0,-65.0,2026-06-04,2026-07-02
SAUS SACHET SAMBAL,136.0,200.0,64.0,2026-06-04,2026-07-02
BEANS HOT,664.0,601.0,-63.0,2026-06-04,2026-07-02
KUBIS PUTIH,1595.0,1533.0,-62.0,2026-06-04,2026-07-02
ROSEMARY POWDER,57.0,0.0,-57.0,2026-06-04,2026-07-02
KERTAS NASI,5055.0,5000.0,-55.0,2026-06-04,2026-07-02
DELIVERY BAG IDOLA 30,50.0,100.0,50.0,2026-06-04,2026-07-02
PEANUT BUTTER,350.0,400.0,50.0,2026-06-04,2026-07-02
SPORK HITAM,180.0,225.0,45.0,2026-06-04,2026-07-02
COLA 250 ML,0.0,45.0,45.0,2026-06-04,2026-07-02
HANDGLOVES PLASTIK,0.0,40.0,40.0,2026-06-04,2026-07-02
LADA SZECHUAN,29.0,69.0,40.0,2026-06-04,2026-07-02
JELLY POWDER,0.0,38.0,38.0,2026-06-04,2026-07-02
BORA 250ML,25.0,59.0,34.0,2026-06-04,2026-07-02
DAUN KUCAI,380.0,413.0,33.0,2026-06-04,2026-07-02
BOX NASI,180.0,150.0,-30.0,2026-06-04,2026-07-02
GARAM MASALA,299.0,270.0,-29.0,2026-06-04,2026-07-02
DR PEPPER ORIGINAL,30.0,2.0,-28.0,2026-06-04,2026-07-02
OREGANO,474.0,447.0,-27.0,2026-06-04,2026-07-02
BAYLEAF,25.0,0.0,-25.0,2026-06-04,2026-07-02
WORTEL,465.0,489.0,24.0,2026-06-04,2026-07-02
SUMPIT KAYU,77.0,101.0,24.0,2026-06-04,2026-07-02
KAPULAGA,38.0,16.0,-22.0,2026-06-04,2026-07-02
TERASI UDANG,78.0,57.0,-21.0,2026-06-04,2026-07-02
TISSUE HANDTOWEL,40.0,60.0,20.0,2026-06-04,2026-07-02
UNSALTED BUTTER PORTION,84.0,102.0,18.0,2026-06-04,2026-07-02
AW 250 ML,0.0,18.0,18.0,2026-06-04,2026-07-02
TELUR OMEGA,10.0,26.0,16.0,2026-06-04,2026-07-02
PARSLEY KERING,103.0,118.0,15.0,2026-06-04,2026-07-02
ADONAN ROTI CHINA,7.0,16.0,9.0,2026-06-04,2026-07-02
GULA PASIR,465.0,474.0,9.0,2026-06-04,2026-07-02
PALA POWDER,338.0,345.0,7.0,2026-06-04,2026-07-02
CENGKEH,25.0,30.0,5.0,2026-06-04,2026-07-02
BURGER BUN,4.0,2.0,-2.0,2026-06-04,2026-07-02
TRASH BAG,1.0,3.0,2.0,2026-06-04,2026-07-02
SODA CHARGER,18.0,20.0,2.0,2026-06-04,2026-07-02
TISSUE MAKAN,39.0,41.0,2.0,2026-06-04,2026-07-02
MIE,11.0,10.0,-1.0,2026-06-04,2026-07-02
GAS 50 KG,1.0,2.0,1.0,2026-06-04,2026-07-02
CABAI RAWIT,240.0,239.0,-1.0,2026-06-04,2026-07-02
CUP SAOS PLASTIK 35 ML,379.0,380.0,1.0,2026-06-04,2026-07-02
CUP LAJU,59.0,60.0,1.0,2026-06-04,2026-07-02
EMAKU KOREAN SPICY,0.0,0.0,0.0,2026-06-04,2026-07-02
CHILLI POWDER YUTAKACHI,0.0,0.0,0.0,2026-06-04,2026-07-02
BAWANG BOMBAY MERAH,0.0,0.0,0.0,2026-06-04,2026-07-02
ACAR ONION,0.0,0.0,0.0,2026-06-04,2026-07-02
DELIVERY BAG IDOLA 15,100.0,100.0,0.0,2026-06-04,2026-07-02
DELIVERY BAG PARTY 20,0.0,0.0,0.0,2026-06-04,2026-07-02
CRUMBLE LOTUS,0.0,0.0,0.0,2026-06-04,2026-07-02
CUP SAOS PLASTIK 60 ML,36.0,36.0,0.0,2026-06-04,2026-07-02
CUP SAOS STAINLESS,0.0,0.0,0.0,2026-06-04,2026-07-02
GALON,36000.0,36000.0,0.0,2026-06-04,2026-07-02
DR PEPPER STRAWBERRY CREAM,0.0,0.0,0.0,2026-06-04,2026-07-02
MANGKOK ENAMEL,0.0,0.0,0.0,2026-06-04,2026-07-02
KALDU AYAM,0.0,0.0,0.0,2026-06-04,2026-07-02
GARPU STAINLESS,0.0,0.0,0.0,2026-06-04,2026-07-02
LAJU KOPI,0.0,0.0,0.0,2026-06-04,2026-07-02
MARINASI BUTTERMILK,0.0,0.0,0.0,2026-06-04,2026-07-02
PEWARNA MERAH,0.0,0.0,0.0,2026-06-04,2026-07-02
SENDOK STAINLESS,0.0,0.0,0.0,2026-06-04,2026-07-02
SEDOTAN,0.0,0.0,0.0,2026-06-04,2026-07-02
SEAL CUP,1.0,1.0,0.0,2026-06-04,2026-07-02
PISAU STAINLESS,0.0,0.0,0.0,2026-06-04,2026-07-02
PIRING ENAMEL,0.0,0.0,0.0,2026-06-04,2026-07-02
TRAY MELAMIN,0.0,0.0,0.0,2026-06-04,2026-07-02
UHT,0.0,0.0,0.0,2026-06-04,2026-07-02
UNCLE MASALA,0.0,0.0,0.0,2026-06-04,2026-07-02
